,tweet,dialect
0,حاجة حلوة اكيد,Egypt
1,عم بشتغلوا للشعب الاميركي اما نحن يكذبوا ويغشوا ويسرقوا ويقتلو شعوبهم ويعملوا لصالح اعدائهم,Iraq
2,ابشر طال عمرك,Saudi_Arabia
3,منطق 2017: أنا والغريب علي إبن عمي وأنا والغريب وإبن عمي علي أخويا. #قطع_العلاقات_مع_قطر #موريتانيا_مع_قطر,Mauritania
4,شهرين وتروح والباقي غير صيف ملينا,Algeria
5,يابنتى والله ما حد متغاظ ولا مفروس منك ولا بيحسدك انتى عره اساسا.,Syria
6,نفس الوقت بأكد على صاحبتي ان اي هدف هتحطه وتخططله هيبوظ والأفضل التشاؤم واننا نتوقع الأسوء دايما والفشل عشان منعشمش نفسنا ع الفاضي,Egypt
7,م تبطلي خرا بقا علشان مطلعهوش عليكي احترمي نفسك URL  …,Egypt
8,ما يله دخل !,Oman
9,هو حلو بس يتخربط ع طلاب المدراس ليك مايغيرونه عدنا,Iraq
10,أي عرفتو، ماعندوش مصداقية بصراحة,Tunisia
11,بتتذكري مسلسل نورا هيك بتذكر كان اسمها في,Lebanon
12,أحمد ربي ديجا كي يجي واحد منهم في الوقت,Tunisia
13,يسطا لازم قريب خد بالك,Tunisia
14,نزعل و الله لو تريكه مرضش,Tunisia
15,فخري وتاج راسي هالنونا والله URL ,Morocco
16,مال صور ' تاريخ ١٨-١٩ /٧ . URL ,Oman
17,فورنو كهرباء نوع كوبر نضيف بسعر مغري وممتاز El Oued إعلانات مبوبة في الجزائر | Ssoug  URL …,Algeria
18,لا حبيتي اني مااسمع صوات حمير هنق هنق,Djibouti
19,بدو يحشر حالو بين كنادر البنات ، فعلا نظرو واطي هالشخص URL  …,United_Arab_Emirates
20,"""مقتنعه ب جمله \"" لكل فعل رد فعل \"" ف استحملوا يعنى""",Egypt
21,اكثر يوم حسيت فيه اني خريجه صج,Kuwait
22,بوصوفة مشى والصراحة غيخلي بلاصتو ولكن المستقبل هو زياش متنساش راه اول كاس افريقيا غيلعبها,Morocco
23, USER  والله بجد اللقب هيتشرف بعباس,Syria
24,أموت في حبجج؛ خيتي.,Oman
25,وش للتبديل الغبي ذا؟؟؟؟؟؟,Saudi_Arabia
26,المصور ما عقلهاش,Tunisia
27,مادار في بالي الخالي اتعلق بغالي واضيع انا في الدرب وشصار لهالگلب حب وعشگ وانحب واني ادري انه صعب وشصار شنو...  URL ,Iraq
28,لما اقول لبنت طيزك حمرا دي مش شتيمة دا مدح عظيم لو تعلمون,Egypt
29,ماحس الي يالسه ترمسني ميثوه (:,United_Arab_Emirates
30,لااااااا متقوليييييش عليها كده متصدمنيش لااااااا,Egypt
31,بعد مشاهدة الحوار لي دارو البارح الغديري في حصة الجزائرية وان .. لن وولن انتخب بنادم... جملة ميعرفش يكونها... 1,Algeria
32,من الأماكن الي فعلا بحبها وترتاح جدا فيها,Egypt
33,اي والله تحول خرافي,Algeria
34,ههههههه او ههههههههه او ههههههه والكارثه الزواج تايد وتصدك وطبل لابو كل ذيل وكل مغرض ولكم جذبو بانصاف لابو الحرس الثوري,Iraq
35,حبك لو ينتهي ارجع احبك من جديد !,United_Arab_Emirates
36,وحياتك ولا انا,Iraq
37,مش احسن ما اعيط من المذاكره اللي عليا,Egypt
38,#البريمرليج_على_الجزيره ياريت الخليفي ما يطلع حرقة دفع تعاقدات ال PSG من مشركين الجزيرة الرياضية :):):):),Iraq
39,فيه فلم مدري مسلسل نزل ل زياد العمري لي اسبوعين ادور عليه اتوقع اسمه ( جُرذ ) كيف اشوفه او بس يعرض على صالات السينما؟,Saudi_Arabia
40,#الهلال_الشباب هاردلك لليوث الفريق لازال في مرحلة البناء لعيبه صغار سن فيه اخطاء صانع لعب ممتاز مطلب في الشتوية بديل للاسطا مهاجم محلي جيد,Syria
41,عهدي بها فاكهه شيطان امتى قعدت تفاحة صراحه URL  …,Libya
42,سال المجرب وما تسالش الطبيب,Algeria
43,هي زي تحبكي,Iraq
44,كيف جايهم النوم بس حاسدتهم,Libya
45,شي غريب الشوارع فاضيه !!!!! #كويت #q8 #Kuwait,Kuwait
46,"""منذ الأزل بيخسروا وبيخيبوا أملنا بس هل مرة نشعر بالسعادة \""العارمة\""""",Syria
47,يعني الجبال الباقيه على الارض مديلها جديد ولا خلقت الا بعد ذا الاحفوره !!!,Saudi_Arabia
48,#الحقيقه_توجع ناس كنت احسب انهم كفو وخيبوا ظنّي..!!  URL ,Syria
49, USER  يا ريت والله,Oman
50,قويه قدام الغياب مايهزمني بُعد مخلوق مثل م حبيتك اقدر اكرهك .,Saudi_Arabia
51,يغير فكرته برأيي أحسنله,Syria
52,الله يبقيك يا الغالي,Bahrain
53,اكثر من هاك,Algeria
54,لاماله علاقه السجل تواصلي مع شركة اللي كنتي فيها هي سبب الرفض,Saudi_Arabia
55,يبارك فيك حبيب قلبي,Bahrain
56,فالفيردي مصلي العشاء قبل الماتش,Egypt
57,الله لا يحرمني منها يارب,Saudi_Arabia
58,تخمام تاع طفل في الابتدائي ما ظنيتش يصوم,Algeria
59,حتى بنومي كاعد ...... خايف أنسااك !!!  URL ,Iraq
60,يعني ما تنعرف يوم تكون مريضه,Iraq
61,#فركوس_مدرس_المسجد_الاعظم و الشاب جلول مؤدن تاعو,Tunisia
62,يبلعك سمك القرش ومايبزقك,Syria
63,لو تباعدك الظروف انا غيرك ما أشوف .,United_Arab_Emirates
64,لحيتي متوسطة لكن عندي باها جو هلبا,Libya
65,أسوأ حاجه هي أنك تهون ، لو هونت هتتغير ، ولو أتغيرت هتأخد قرارات كتير أولها القسوه ، ولو قسيت لا هتحن ولا تصفي ..,Syria
66,ولا اوصلها اكثر من كذا,Iraq
67,ههههههههههه جسم غريب. ميمتي مت بالضحك. URL  …,Morocco
68, USER  العيون تحكم ياما نخدعنابالنظاره,Saudi_Arabia
69,يلا ايش يوزرك,Iraq
70,اليوم الدكتوره الى ما دانيها ومدرستني من سنتين جات وسلمت على وتقولي I miss you URL ,Qatar
71,اذا ندمت اني كلمت شخص احذف المحادثه وبكذا احس اني ماسويت شي.,Saudi_Arabia
72,بس هو شبهي نوعا ما,Egypt
73,كعبة المساطة تدمغ وحدة وحدة الفيديو كــــامل هير:   URL  ,Tunisia
74,وياعيني عليها وعلي ضحكتها,Egypt
75,مالها جواهر هو حد يعرفك غيري يابنتي,Egypt
76,ايه والله وقطعتين ثلج  URL  …,Oman
77,ماهر غناها احلى,Yemen
78, USER  مبروك وعقبال الدوري يارب,Saudi_Arabia
79,اه اذا كان كده معلش خلاص تقبلته,Egypt
80,كذب عليكم لما وصلةدعم اااخ سودتو وجيهنا,Yemen
81,هو اى الى عادى ي سى كريم اسكت خالص ده انا بموت خصوصا كنت بمتحن النهارده,Morocco
82,وبيييييتكم غبتووو ياكم الاعصااااررر,Lebanon
83,بسم الله شكون بغا يذوق معيا ؟  URL ,Morocco
84,سالتا عنك يا المحبوب وينك,Morocco
85,تقصدي المحترف يمشي على آلية معينة بينما الهاوي يعتمد على الصدفة والارتجال. معقولة,Palestine
86,بعد ما أخيرا زبط نومي بعد الnight rotation ونمت عال٩ اليوم بصحى عال٣ الصبح,Jordan
87,ولا أنت غيم فالسماء ولأني ميت ظما.,United_Arab_Emirates
88, USER  وجععع شررر شرررررررر,Saudi_Arabia
89,وبلهجة الكمزاري أسم (لجدانه) وبعض يسموه افتيله له اسمين,Oman
90,خساره ما لحقت قبل العشر دقايق,Saudi_Arabia
